time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
44.70,2.00,1.00,-48.00,-13.60,-0.02
44.80,2.00,-1.57,-48.00,-13.80,-0.12
44.90,2.00,1.00,-48.00,-14.00,0.03
45.00,2.00,1.00,-47.07,-14.00,0.47
45.10,2.00,1.00,-46.52,-14.00,0.45
45.20,2.00,1.00,-46.08,-14.00,0.41
45.30,2.00,1.00,-45.69,-14.00,0.37
45.40,2.00,1.00,-45.35,-14.00,0.32
45.50,2.00,1.00,-45.03,-14.00,0.26
45.60,2.00,1.00,-44.72,-14.00,0.19
45.70,2.00,1.00,-44.43,-14.00,0.12
45.80,2.00,1.00,-44.16,-14.00,0.05
45.90,2.00,0.47,-43.89,-14.00,-0.02
46.00,2.00,1.00,-43.63,-14.00,-0.05
46.10,2.00,-1.25,-43.38,-14.00,-0.13
46.20,2.00,1.00,-43.14,-14.00,0.00
46.30,2.00,-1.57,-42.89,-14.00,-0.08
46.40,2.00,1.00,-42.65,-14.00,0.09
46.50,2.00,-1.57,-42.41,-14.00,0.01
46.60,2.00,1.00,-42.17,-14.00,0.18
46.70,2.00,1.00,-41.86,-13.86,0.32
46.80,2.00,1.00,-41.44,-13.44,0.31
46.90,2.00,1.00,-41.11,-13.11,0.28
47.00,2.00,-1.09,-40.87,-13.00,0.01
47.10,2.00,1.00,-40.66,-13.00,0.12
47.20,2.00,-1.11,-40.45,-13.00,0.03
47.30,2.00,1.00,-40.25,-13.00,0.15
47.40,2.00,-0.83,-40.04,-13.00,0.06
47.50,2.00,1.00,-39.80,-12.80,0.38
47.60,2.00,1.00,-39.57,-12.57,0.32
47.70,2.00,1.00,-39.35,-12.35,0.26
47.80,2.00,1.00,-39.14,-12.14,0.20
47.90,2.00,-1.57,-38.94,-12.00,-0.08
48.00,2.00,1.00,-38.74,-12.00,0.07
48.10,2.00,-1.57,-38.54,-12.00,-0.02
48.20,2.00,1.00,-38.34,-12.00,0.13
48.30,2.00,-1.47,-38.14,-12.00,0.04
48.40,0.00,1.00,-38.00,-11.33,0.68
48.50,0.00,1.00,-38.00,-11.33,0.58
48.60,1.00,1.00,-38.00,-11.33,0.48
48.70,2.00,-1.57,-37.96,-11.00,0.04
48.80,2.00,1.00,-37.76,-11.00,0.19
48.90,2.00,-0.78,-37.56,-11.00,0.09
49.00,2.00,1.00,-37.36,-11.00,0.16
49.10,2.00,-0.21,-37.16,-11.00,0.07
49.20,2.00,1.00,-36.96,-10.96,0.29
49.30,2.00,1.00,-36.80,-10.80,0.21
49.40,2.00,1.00,-36.63,-10.63,0.13
49.50,2.00,1.00,-36.47,-10.47,0.05
49.60,2.00,0.66,-36.31,-10.31,-0.04
49.70,2.00,0.73,-36.16,-10.16,-0.10
49.80,2.00,-0.42,-36.00,-10.00,-0.16
49.90,2.00,1.00,-35.85,-9.85,-0.11
50.00,2.00,-1.57,-35.70,-9.70,-0.21
50.10,2.00,1.00,-35.55,-9.55,-0.05
50.20,2.00,-1.57,-35.40,-9.40,-0.14
50.30,2.00,1.00,-35.25,-9.25,0.03
50.40,2.00,-1.57,-35.10,-9.10,-0.06
50.50,2.00,1.00,-34.94,-8.94,0.10
50.60,2.00,-1.45,-34.79,-8.79,0.01
50.70,2.00,1.00,-34.64,-8.64,0.17
50.80,2.00,-0.61,-34.49,-8.49,0.08
50.90,2.00,1.00,-34.34,-8.34,0.15
51.00,2.00,0.07,-34.19,-8.19,0.06
51.10,2.00,1.00,-34.05,-8.05,0.07
51.20,2.00,1.00,-34.00,-7.73,0.20
51.30,2.00,1.00,-34.00,-7.36,0.15
51.40,2.00,1.00,-34.00,-7.02,0.09
51.50,2.00,-1.57,-33.77,-7.00,-0.43
51.60,2.00,1.00,-33.53,-7.00,-0.30
51.70,2.00,-1.57,-33.30,-7.00,-0.42
51.80,2.00,1.00,-33.08,-7.00,-0.29
51.90,2.00,1.00,-33.00,-6.74,0.02
52.00,2.00,0.77,-33.00,-6.38,-0.04
52.10,2.00,0.70,-33.00,-6.05,-0.08
52.20,0.00,-1.57,-32.81,-6.00,-0.57
52.30,1.00,1.00,-32.81,-6.00,-0.41
52.40,0.00,-1.57,-32.69,-6.00,-0.52
52.50,1.00,1.00,-32.69,-6.00,-0.37
52.60,2.00,-1.57,-32.57,-6.00,-0.48
52.70,2.00,1.00,-32.35,-6.00,-0.35
